number,value,datetime_start,datetime_complete,duration,params_#hidden,params_dense1,params_dense2,params_dense3,params_dense4,params_lambda,state
0,0.31144091486930847,2021-01-12 20:22:54.727994,2021-01-12 20:30:23.804950,0 days 00:07:29.076956,3,240,128,64,,0.0004792414358623592,COMPLETE
1,0.291975736618042,2021-01-12 20:30:23.871301,2021-01-12 20:37:39.016626,0 days 00:07:15.145325,3,48,80,64,,0.0018591711878786364,COMPLETE
2,0.29847198724746704,2021-01-12 20:37:39.081784,2021-01-12 20:44:57.765156,0 days 00:07:18.683372,3,48,32,48,,0.002772015819815351,COMPLETE
3,0.2920242249965668,2021-01-12 20:44:57.834723,2021-01-12 20:52:54.122900,0 days 00:07:56.288177,4,32,128,32,64.0,0.0009385397696776552,COMPLETE
4,0.3304617702960968,2021-01-12 20:52:54.203042,2021-01-12 21:00:14.841981,0 days 00:07:20.638939,3,240,96,32,,0.006049328919866826,COMPLETE
5,1.118399977684021,2021-01-12 21:00:14.912228,2021-01-12 21:00:31.877947,0 days 00:00:16.965719,4,144,80,64,16.0,0.0039323677119884924,PRUNED
6,0.9348848462104797,2021-01-12 21:00:31.910065,2021-01-12 21:00:47.610377,0 days 00:00:15.700312,3,160,112,32,,0.0029940174718450663,PRUNED
7,0.636554479598999,2021-01-12 21:00:47.642103,2021-01-12 21:01:04.806724,0 days 00:00:17.164621,4,224,96,96,48.0,0.0009308436524007995,PRUNED
8,0.43744751811027527,2021-01-12 21:01:04.838201,2021-01-12 21:02:19.524994,0 days 00:01:14.686793,3,256,80,64,,0.0007605751629726533,PRUNED
9,0.6854263544082642,2021-01-12 21:02:19.557297,2021-01-12 21:02:35.075390,0 days 00:00:15.518093,3,80,64,112,,0.0020003386117087656,PRUNED
10,0.7406627535820007,2021-01-12 21:02:35.105654,2021-01-12 21:02:50.596810,0 days 00:00:15.491156,3,192,64,128,,0.0018944836908329923,PRUNED
11,1.7489774227142334,2021-01-12 21:02:50.629337,2021-01-12 21:03:07.391856,0 days 00:00:16.762519,3,208,80,112,,0.01202845176017643,PRUNED
12,1.307128667831421,2021-01-12 21:03:07.425985,2021-01-12 21:03:23.128815,0 days 00:00:15.702830,3,128,112,80,,0.0050733179220704624,PRUNED
13,0.8125759363174438,2021-01-12 21:03:23.162852,2021-01-12 21:03:39.638133,0 days 00:00:16.475281,3,256,96,80,,0.056246567094609984,PRUNED
14,1.2606099843978882,2021-01-12 21:03:39.689648,2021-01-12 21:03:55.914010,0 days 00:00:16.224362,4,208,64,112,64.0,0.0036178899962103603,PRUNED
15,1.1013351678848267,2021-01-12 21:03:55.947788,2021-01-12 21:04:11.963588,0 days 00:00:16.015800,3,160,48,96,,0.030131614432849754,PRUNED
