number,value,datetime_start,datetime_complete,duration,params_#hidden,params_dense1,params_dense2,params_dense3,params_dense4,params_lambda,state
16,0.2766621708869934,2021-01-12 21:04:11.997765,2021-01-12 21:12:05.786060,0 days 00:07:53.788295,4,80,96,112,32.0,0.0001069724762095448,COMPLETE
17,1.03249192237854,2021-01-12 21:12:05.871285,2021-01-12 21:12:22.830690,0 days 00:00:16.959405,4,48,128,80,64.0,0.042302937472591146,PRUNED
18,1.2126083374023438,2021-01-12 21:12:22.862236,2021-01-12 21:12:39.489256,0 days 00:00:16.627020,4,144,48,64,64.0,0.0324457928345932,PRUNED
19,0.3019866943359375,2021-01-12 21:12:39.520259,2021-01-12 21:19:12.987616,0 days 00:06:33.467357,4,160,128,128,32.0,0.00017765808030254098,PRUNED
20,0.29013800621032715,2021-01-12 21:19:13.022310,2021-01-12 21:26:38.232582,0 days 00:07:25.210272,3,80,48,128,,0.00038253297826090787,COMPLETE
21,0.30869260430336,2021-01-12 21:26:38.304164,2021-01-12 21:32:41.324371,0 days 00:06:03.020207,4,128,48,112,48.0,0.00030220373637913575,PRUNED
22,1.045897126197815,2021-01-12 21:32:41.356822,2021-01-12 21:32:56.899702,0 days 00:00:15.542880,3,80,48,112,,0.006071494952921908,PRUNED
23,0.35234972834587097,2021-01-12 21:32:56.935147,2021-01-12 21:35:24.339694,0 days 00:02:27.404547,3,240,128,128,,0.00028788003404415976,PRUNED
24,1.7104089260101318,2021-01-12 21:35:24.373557,2021-01-12 21:35:40.935673,0 days 00:00:16.562116,3,176,112,48,,0.01190997600729943,PRUNED
25,1.097156047821045,2021-01-12 21:35:40.972909,2021-01-12 21:35:58.148529,0 days 00:00:17.175620,4,48,80,96,48.0,0.03672133381024244,PRUNED
26,0.3234754502773285,2021-01-12 21:35:58.183806,2021-01-12 21:40:09.887575,0 days 00:04:11.703769,3,224,48,96,,0.0004942019377643914,PRUNED
27,0.2743085026741028,2021-01-12 21:40:09.926473,2021-01-12 21:48:21.245311,0 days 00:08:11.318838,4,224,80,128,16.0,0.00010289728794436796,COMPLETE
28,1.8580548763275146,2021-01-12 21:48:21.322019,2021-01-12 21:48:37.130001,0 days 00:00:15.807982,3,224,96,96,,0.011887906923067935,PRUNED
29,0.2860086262226105,2021-01-12 21:48:37.166594,2021-01-12 21:55:55.358105,0 days 00:07:18.191511,3,176,32,32,,0.0005279194868024993,COMPLETE
30,1.4817378520965576,2021-01-12 21:55:55.432960,2021-01-12 21:56:12.806069,0 days 00:00:17.373109,4,192,112,112,16.0,0.004530343846752994,PRUNED
31,1.945756435394287,2021-01-12 21:56:12.843377,2021-01-12 21:56:30.343769,0 days 00:00:17.500392,4,256,128,32,64.0,0.009653682473193063,PRUNED
32,1.0299780368804932,2021-01-12 21:56:30.397146,2021-01-12 21:56:44.660260,0 days 00:00:14.263114,3,176,64,80,,0.03658958321708722,PRUNED
33,1.1229758262634277,2021-01-12 21:56:44.702728,2021-01-12 21:57:01.128977,0 days 00:00:16.426249,4,224,80,48,64.0,0.04033819520420169,PRUNED
34,0.9781874418258667,2021-01-12 21:57:01.166969,2021-01-12 21:57:16.966945,0 days 00:00:15.799976,3,144,48,80,,0.004540568436850583,PRUNED
35,0.27240511775016785,2021-01-12 21:57:17.001319,2021-01-12 22:04:35.675184,0 days 00:07:18.673865,3,144,112,48,,0.00010187419587125717,COMPLETE
36,0.429851770401001,2021-01-12 22:04:35.761503,2021-01-12 22:04:51.802158,0 days 00:00:16.040655,3,64,128,112,,0.00041966967018842484,PRUNED
37,0.9371778964996338,2021-01-12 22:04:51.838387,2021-01-12 22:05:06.638259,0 days 00:00:14.799872,3,208,128,128,,0.050784843444573395,PRUNED
38,1.2563976049423218,2021-01-12 22:05:06.689515,2021-01-12 22:05:22.827544,0 days 00:00:16.138029,4,256,80,80,48.0,0.003571544217004025,PRUNED
39,0.362895667552948,2021-01-12 22:05:22.862345,2021-01-12 22:07:15.851235,0 days 00:01:52.988890,4,192,80,112,48.0,0.0003042335066968624,PRUNED
40,1.3717570304870605,2021-01-12 22:07:15.889294,2021-01-12 22:07:33.216382,0 days 00:00:17.327088,4,176,80,48,48.0,0.03010338844193861,PRUNED
41,1.056329607963562,2021-01-12 22:07:33.270993,2021-01-12 22:07:51.468079,0 days 00:00:18.197086,4,256,112,80,48.0,0.0022485858405096597,PRUNED
42,1.5545237064361572,2021-01-12 22:07:51.505501,2021-01-12 22:08:08.755848,0 days 00:00:17.250347,4,144,96,96,32.0,0.0283142302162105,PRUNED
43,0.28037992119789124,2021-01-12 22:08:08.791439,2021-01-12 22:15:33.803826,0 days 00:07:25.012387,3,176,64,112,,0.00015947128895686284,COMPLETE
44,1.6918442249298096,2021-01-12 22:15:33.898409,2021-01-12 22:15:49.792049,0 days 00:00:15.893640,3,176,80,96,,0.013368792616005232,PRUNED
45,1.028295636177063,2021-01-12 22:15:49.831935,2021-01-12 22:16:05.297574,0 days 00:00:15.465639,3,80,32,80,,0.022028950852513017,PRUNED
46,0.6988450884819031,2021-01-12 22:16:05.336466,2021-01-12 22:16:22.397889,0 days 00:00:17.061423,4,64,112,48,64.0,0.001642689708404486,PRUNED
47,1.9238777160644531,2021-01-12 22:16:22.454991,2021-01-12 22:16:39.344542,0 days 00:00:16.889551,4,192,64,112,48.0,0.012272521587638077,PRUNED
48,1.5707319974899292,2021-01-12 22:16:39.383183,2021-01-12 22:16:55.306995,0 days 00:00:15.923812,3,176,80,80,,0.01973732469708263,PRUNED
49,1.3680243492126465,2021-01-12 22:16:55.344923,2021-01-12 22:17:12.632661,0 days 00:00:17.287738,4,128,80,48,64.0,0.005651169709683295,PRUNED
