number,value,datetime_start,datetime_complete,duration,params_#hidden,params_dense1,params_dense2,params_dense3,params_dense4,params_lambda,state
38,3.7318177223205566,2021-01-14 14:59:19.561193,2021-01-14 14:59:39.680849,0 days 00:00:20.119656,3,128,96,128,,0.002736454497972002,PRUNED
39,2.389007329940796,2021-01-14 14:59:39.736855,2021-01-14 15:00:00.767047,0 days 00:00:21.030192,4,80,32,64,32.0,0.00558512002564367,PRUNED
40,1.841612696647644,2021-01-14 15:00:00.819555,2021-01-14 15:00:21.870113,0 days 00:00:21.050558,4,48,64,112,16.0,0.0013037871565805183,PRUNED
41,3.815502643585205,2021-01-14 15:00:21.921564,2021-01-14 15:00:43.195107,0 days 00:00:21.273543,4,128,80,128,16.0,0.003117442261143225,PRUNED
42,2.7843704223632812,2021-01-14 15:00:43.260237,2021-01-14 15:01:02.961279,0 days 00:00:19.701042,3,128,112,32,,0.004467487069909505,PRUNED
43,1.138946294784546,2021-01-14 15:01:03.011979,2021-01-14 15:01:24.128685,0 days 00:00:21.116706,4,80,64,128,64.0,0.0003706982934707151,PRUNED
44,0.43908077478408813,2021-01-14 15:01:24.180769,2021-01-14 15:05:49.570828,0 days 00:04:25.390059,3,112,64,32,,0.014117515699989782,PRUNED
45,2.9349365234375,2021-01-14 15:05:49.626429,2021-01-14 15:06:10.822165,0 days 00:00:21.195736,4,48,112,64,64.0,0.00211408993559865,PRUNED
46,0.4733212888240814,2021-01-14 15:06:10.875783,2021-01-14 15:10:49.595981,0 days 00:04:38.720198,4,240,96,112,64.0,0.01573190508573227,PRUNED
47,0.4359288811683655,2021-01-14 15:10:49.649633,2021-01-14 15:15:35.450619,0 days 00:04:45.800986,3,96,48,112,,0.015419893815589348,PRUNED
48,4.5473551750183105,2021-01-14 15:15:35.503598,2021-01-14 15:15:56.593440,0 days 00:00:21.089842,4,256,96,80,64.0,0.002134065368290419,PRUNED
49,0.8151490092277527,2021-01-14 15:15:56.642709,2021-01-14 15:16:17.619710,0 days 00:00:20.977001,4,64,96,80,48.0,0.0002506605960905183,PRUNED
