epochs,loss,val_loss,rmse,val_rmse
0,0.3924960196018219,0.3375188112258911,0.6044417023658752,0.5571675896644592
1,0.34302017092704773,0.3197135925292969,0.5621263384819031,0.5410412549972534
2,0.3306018114089966,0.3108527958393097,0.5510657429695129,0.5329069495201111
3,0.32421478629112244,0.30594828724861145,0.5453628301620483,0.5284201502799988
4,0.31991633772850037,0.3023020923137665,0.5415436029434204,0.5250995755195618
5,0.31662118434906006,0.29929766058921814,0.5386286377906799,0.5223755240440369
6,0.31383100152015686,0.29705044627189636,0.5361723899841309,0.5203601121902466
7,0.3115716278553009,0.29439908266067505,0.5342006087303162,0.5179488062858582
8,0.30950024724006653,0.29325366020202637,0.5323987007141113,0.5169885158538818
9,0.30758628249168396,0.2908923029899597,0.5307389497756958,0.5148420333862305
10,0.30586808919906616,0.2902132272720337,0.5292552709579468,0.5143255591392517
11,0.3041921555995941,0.28734809160232544,0.5278090834617615,0.5116722583770752
12,0.3026767671108246,0.2862321436405182,0.5265072584152222,0.51072096824646
13,0.301254004240036,0.2848998010158539,0.52528977394104,0.5095572471618652
14,0.29979896545410156,0.28494372963905334,0.5240388512611389,0.509738028049469
15,0.2985384464263916,0.2830323278903961,0.5229683518409729,0.5080028176307678
16,0.29748454689979553,0.2814914584159851,0.5221000909805298,0.5066216588020325
17,0.2964201271533966,0.28198742866516113,0.5212134122848511,0.5072504878044128
18,0.2953130900859833,0.2797156572341919,0.5202839970588684,0.5051422119140625
19,0.2943238914012909,0.2793789207935333,0.519466757774353,0.5049499869346619
20,0.2933497130870819,0.2798801064491272,0.5186646580696106,0.5055837631225586
21,0.29255613684654236,0.277363657951355,0.5180320739746094,0.5032250881195068
22,0.29165542125701904,0.27674704790115356,0.5172941088676453,0.5027459859848022
23,0.29085853695869446,0.27898073196411133,0.5166552662849426,0.5051004886627197
24,0.29006388783454895,0.27587834000587463,0.5160171389579773,0.5021501183509827
25,0.2893930673599243,0.27654629945755005,0.515496551990509,0.502945601940155
26,0.28864553570747375,0.2747895121574402,0.514897346496582,0.5013276934623718
27,0.28790444135665894,0.27330291271209717,0.5143059492111206,0.4999745488166809
28,0.2871174216270447,0.272634357213974,0.5136657953262329,0.49943292140960693
29,0.28658047318458557,0.27204540371894836,0.5132694244384766,0.4989760220050812
30,0.28590452671051025,0.2723403871059418,0.5127357840538025,0.49939876794815063
31,0.2853202819824219,0.27275389432907104,0.5122886300086975,0.4999361038208008
