epochs,loss,val_loss,rmse,val_rmse
0,0.5691394805908203,0.5131149888038635,0.5969979166984558,0.5513070821762085
1,0.5144317150115967,0.48793041706085205,0.555668830871582,0.5346150994300842
2,0.49695494771003723,0.4749235212802887,0.5462267398834229,0.5289940237998962
3,0.48457708954811096,0.4628450870513916,0.5411995053291321,0.5239866375923157
4,0.47413507103919983,0.45336276292800903,0.5376952290534973,0.5211412310600281
5,0.46470335125923157,0.44397950172424316,0.5348547697067261,0.5181390643119812
6,0.45601189136505127,0.43623054027557373,0.532477855682373,0.5164561867713928
7,0.44770652055740356,0.428640753030777,0.5302132368087769,0.5147215127944946
8,0.4400792419910431,0.4205026924610138,0.5283781290054321,0.5122329592704773
9,0.43266966938972473,0.41674813628196716,0.5265248417854309,0.5137674808502197
10,0.4256902039051056,0.4067622423171997,0.5248750448226929,0.5090370774269104
11,0.41903823614120483,0.4016476273536682,0.5233336091041565,0.5088549852371216
12,0.41277647018432617,0.3955151438713074,0.5219826698303223,0.5075281262397766
13,0.4068485498428345,0.3925509750843048,0.5207852721214294,0.509095311164856
14,0.40110230445861816,0.39411893486976624,0.5195587277412415,0.5149312615394592
15,0.3957352042198181,0.38048312067985535,0.518544614315033,0.5057329535484314
16,0.3906378149986267,0.37473544478416443,0.5176392197608948,0.5040565729141235
17,0.3857846260070801,0.3695414066314697,0.5167946815490723,0.5027711987495422
18,0.38105714321136475,0.36455023288726807,0.5159376263618469,0.5015404224395752
19,0.3765423893928528,0.36182382702827454,0.5151215195655823,0.5024206042289734
20,0.3722708821296692,0.3570623993873596,0.5144144296646118,0.5011459589004517
21,0.36814379692077637,0.35140785574913025,0.5137105584144592,0.4988044500350952
22,0.364339679479599,0.3496600389480591,0.5131804347038269,0.5002717971801758
23,0.36052417755126953,0.34470242261886597,0.5125323534011841,0.4983995854854584
24,0.35690581798553467,0.3402472734451294,0.5119454860687256,0.4969067871570587
25,0.35345226526260376,0.3372022807598114,0.5114058256149292,0.4966970682144165
26,0.35013648867607117,0.33329904079437256,0.5108936429023743,0.4955035150051117
27,0.34707680344581604,0.33030328154563904,0.5105233788490295,0.4951412081718445
28,0.3439828157424927,0.3278575539588928,0.5100185871124268,0.4952169358730316
29,0.34101182222366333,0.3254844844341278,0.509520947933197,0.4952697157859802
30,0.33810368180274963,0.32215848565101624,0.5089958310127258,0.49425390362739563
31,0.33543309569358826,0.31964147090911865,0.5086144208908081,0.4939928948879242
32,0.3328231871128082,0.31679999828338623,0.5082079172134399,0.4932727813720703
33,0.33028092980384827,0.31577566266059875,0.5077886581420898,0.4943459928035736
34,0.3278614580631256,0.3132840096950531,0.5074058175086975,0.49385321140289307
35,0.3255407512187958,0.31015291810035706,0.5070451498031616,0.4926108121871948
36,0.32323527336120605,0.3085576593875885,0.5066232085227966,0.49284979701042175
37,0.32106998562812805,0.3059852123260498,0.5062655806541443,0.4920254051685333
38,0.31908008456230164,0.30421075224876404,0.5060034990310669,0.4919756054878235
39,0.317000150680542,0.3055756986141205,0.505602240562439,0.4950006306171417
40,0.315238893032074,0.3002481460571289,0.505445659160614,0.491191565990448
41,0.313245952129364,0.29750803112983704,0.5049827098846436,0.4899446368217468
42,0.3115929365158081,0.29843467473983765,0.5048179626464844,0.4923432171344757
43,0.3097460865974426,0.29513925313949585,0.5043865442276001,0.4904101490974426
44,0.30811652541160583,0.2929545044898987,0.5041252970695496,0.4895288944244385
45,0.3063894212245941,0.29093560576438904,0.5037025809288025,0.4887649416923523
46,0.3048386871814728,0.2890109717845917,0.5033968091011047,0.48805323243141174
47,0.30339258909225464,0.28861528635025024,0.5031505227088928,0.48884695768356323
48,0.30183130502700806,0.2908562123775482,0.502737283706665,0.49226316809654236
49,0.30046164989471436,0.28584638237953186,0.5024682283401489,0.48824548721313477
50,0.29880717396736145,0.28374022245407104,0.5018559098243713,0.487134724855423
51,0.29745984077453613,0.28709864616394043,0.501503050327301,0.4915594756603241
52,0.2961530387401581,0.28448954224586487,0.5011537075042725,0.489855021238327
53,0.2948093116283417,0.282193660736084,0.5007316470146179,0.4884214997291565
54,0.29356420040130615,0.27795079350471497,0.5003588199615479,0.48495519161224365
55,0.2923780679702759,0.2780994474887848,0.5000197291374207,0.4859505891799927
56,0.2912123501300812,0.27909421920776367,0.4996680021286011,0.48780786991119385
57,0.2900216281414032,0.27573344111442566,0.49925288558006287,0.4851428270339966
58,0.28897127509117126,0.27764227986335754,0.4989621043205261,0.48785459995269775
59,0.28785237669944763,0.2761182188987732,0.49856212735176086,0.4870172142982483
60,0.2869343161582947,0.2797829508781433,0.4983566701412201,0.49146050214767456
61,0.28589022159576416,0.276032030582428,0.49797260761260986,0.4883129596710205
62,0.2849927544593811,0.2762594521045685,0.49772512912750244,0.4892135560512543
63,0.2842298150062561,0.27255547046661377,0.4976072311401367,0.4860568940639496
64,0.2832789719104767,0.2784576714038849,0.49726879596710205,0.4927026033401489
65,0.2825121581554413,0.2695828080177307,0.4970979690551758,0.48422619700431824
66,0.2818067669868469,0.2662774622440338,0.49697965383529663,0.48138684034347534
